length	num_GC	number_of_fragments	GC_content	number_of_positions	GC_bias	smoothed_GC_bias
150	0	0	0.0	106615	0.0	0.0
150	1	0	0.006666666666666667	86168	0.0	0.0
150	2	0	0.013333333333333334	98110	0.0	0.0
150	3	0	0.02	104490	0.0	0.0
150	4	0	0.02666666666666667	110342	0.0	0.0
150	5	0	0.03333333333333333	124906	0.0	0.0
150	6	0	0.04	130063	0.0	0.0
150	7	0	0.04666666666666667	136516	0.0	0.0
150	8	0	0.05333333333333334	139909	0.0	0.0
150	9	0	0.06	145290	0.0	0.0
150	10	0	0.06666666666666667	145740	0.0	0.0
150	11	0	0.07333333333333333	149826	0.0	0.0
150	12	0	0.08	159874	0.0	0.0
150	13	0	0.08666666666666667	166447	0.0	0.0
150	14	0	0.09333333333333334	179629	0.0	0.0
150	15	0	0.1	194894	0.0	0.0
150	16	0	0.10666666666666667	208913	0.0	0.0
150	17	0	0.11333333333333333	232640	0.0	0.0
150	18	0	0.12	264508	0.0	0.0
150	19	0	0.12666666666666668	298026	0.0	0.0
150	20	0	0.13333333333333333	345246	0.0	0.0
150	21	0	0.14	417544	0.0	0.0
150	22	0	0.14666666666666667	519986	0.0	0.0
150	23	0	0.15333333333333332	667581	0.0	0.0
150	24	0	0.16	877828	0.0	0.0
150	25	0	0.16666666666666666	1175394	0.0	0.0
150	26	1	0.17333333333333334	1603708	0.26530586243792825	0.0
150	27	3	0.18	2215641	0.5760948646986651	0.0
150	28	0	0.18666666666666668	3071997	0.0	0.10107890451480148
150	29	0	0.19333333333333333	4255296	0.0	0.19578536968515675
150	30	1	0.2	5840859	0.07284427411081229	0.253684883498461
150	31	5	0.20666666666666667	7873181	0.2702040852602049	0.26687179719689125
150	32	11	0.21333333333333335	10512878	0.44518774729666366	0.29087404765093566
150	33	15	0.22	13798453	0.462522647327137	0.3286623284996841
150	34	16	0.22666666666666666	17798696	0.3824757805076103	0.3837468357919346
150	35	14	0.23333333333333334	22575198	0.26385699370346477	0.4031383490534373
150	36	23	0.24	28073621	0.34857926175208803	0.4525166782024264
150	37	38	0.24666666666666667	34315280	0.47115976012630495	0.47565481433827816
150	38	53	0.25333333333333335	41162599	0.5478292588873231	0.5109174807781288
150	39	59	0.26	48593372	0.5165913348898219	0.5407934963189674
150	40	91	0.26666666666666666	56432268	0.6860978048501092	0.5689760395148685
150	41	78	0.2733333333333333	64555874	0.5140803214129079	0.5948110204322926
150	42	105	0.28	72669694	0.6147635501816414	0.6255505461399172
150	43	139	0.2866666666666667	80776844	0.7321499912941151	0.676879969073347
150	44	149	0.29333333333333333	88570641	0.715761975480703	0.7336013515545626
150	45	179	0.3	96080051	0.7926691357908449	0.7699808355691988
150	46	200	0.30666666666666664	103059498	0.8256844682837579	0.7937992538407295
150	47	208	0.31333333333333335	109608609	0.8074038406967635	0.8332178875969602
