length	num_GC	number_of_fragments
150	0	0
150	1	0
150	2	0
150	3	0
150	4	0
150	5	0
150	6	0
150	7	0
150	8	0
150	9	0
150	10	0
150	11	0
150	12	0
150	13	0
150	14	0
150	15	0
150	16	0
150	17	0
150	18	0
150	19	0
150	20	0
150	21	0
150	22	0
150	23	0
150	24	0
150	25	0
150	26	1
150	27	3
150	28	0
150	29	0
150	30	1
150	31	5
150	32	11
150	33	15
150	34	16
150	35	14
150	36	23
150	37	38
150	38	53
150	39	59
150	40	91
150	41	78
150	42	105
150	43	139
150	44	149
150	45	179
150	46	200
150	47	208
150	48	250
150	49	269
150	50	304
150	51	310
150	52	368
150	53	385
150	54	341
150	55	397
150	56	416
150	57	402
150	58	427
150	59	469
150	60	444
150	61	479
150	62	455
150	63	410
150	64	438
150	65	428
150	66	432
150	67	423
150	68	397
150	69	406
150	70	436
150	71	361
150	72	334
150	73	366
150	74	404
150	75	365
150	76	357
150	77	327
150	78	343
150	79	320
150	80	281
150	81	307
150	82	240
150	83	198
150	84	187
150	85	171
150	86	160
150	87	142
150	88	124
150	89	127
150	90	99
150	91	102
150	92	79
150	93	77
150	94	73
150	95	68
150	96	59
150	97	50
150	98	51
150	99	44
150	100	35
150	101	35
150	102	29
150	103	20
150	104	14
150	105	19
150	106	14
150	107	9
150	108	7
150	109	9
150	110	8
150	111	4
150	112	0
150	113	6
150	114	7
150	115	4
150	116	3
150	117	2
150	118	6
150	119	1
150	120	5
150	121	0
150	122	1
150	123	2
150	124	0
150	125	1
150	126	0
150	127	0
150	128	0
150	129	0
150	130	0
150	131	0
150	132	0
150	133	0
150	134	0
150	135	0
150	136	0
150	137	0
150	138	0
150	139	0
150	140	0
150	141	0
150	142	0
150	143	0
150	144	0
150	145	0
150	146	0
150	147	0
150	148	0
150	149	0
150	150	0
151	0	0
151	1	0
151	2	0
151	3	0
151	4	0
151	5	0
151	6	0
151	7	0
151	8	0
151	9	0
151	10	0
151	11	0
151	12	0
151	13	0
151	14	0
151	15	0
151	16	0
151	17	0
151	18	0
151	19	0
151	20	0
151	21	0
151	22	1
151	23	1
151	24	2
151	25	0
151	26	0
151	27	0
151	28	2
151	29	2
151	30	1
151	31	3
151	32	16
151	33	8
151	34	18
151	35	20
151	36	25
151	37	36
151	38	45
151	39	52
151	40	83
151	41	100
151	42	95
151	43	150
151	44	156
151	45	184
151	46	214
151	47	246
151	48	259
151	49	273
151	50	317
151	51	329
151	52	346
151	53	407
151	54	393
151	55	416
151	56	413
151	57	438
151	58	470
151	59	468
151	60	492
151	61	460
151	62	485
151	63	498
151	64	453
151	65	471
151	66	442
151	67	441
151	68	462
151	69	420
151	70	415
151	71	432
151	72	408
151	73	426
151	74	381
151	75	376
151	76	400
151	77	390
151	78	369
151	79	349
151	80	364
151	81	307
151	82	288
151	83	267
151	84	230
151	85	195
151	86	162
151	87	138
151	88	129
151	89	138
151	90	137
151	91	110
151	92	107
151	93	93
151	94	96
151	95	72
151	96	73
151	97	53
151	98	58
151	99	44
151	100	30
151	101	35
151	102	29
151	103	27
151	104	21
