Gene symbol,Normalized TPM of Artery - Aorta,Normalized TPM of Breast - Mammary Tissue,Normalized TPM of Colon - Transverse,Normalized TPM of Heart - Atrial Appendage,Normalized TPM of Kidney - Cortex,Normalized TPM of Liver,Normalized TPM of Lung,Normalized TPM of Ovary,Normalized TPM of Pancreas,Normalized TPM of Placenta,Normalized TPM of Stomach,Normalized TPM of Whole Blood,Specific high expression tissue,TSS ID
LINC01877,0.0840785879629628,0.0046856100217864,0.0060963201970443,0.0025944755244755,0.0025703764705882,0.0037949380530973,0.0024201816608996,0.0046456111111111,0.0006912164634146,0.003,0.0028545682451253,0.0005378410596026,Artery - Aorta,chr2_1_06134
LINC00333,0.0963195833333333,0.0195540305010893,0.0034254926108374,0.0019741724941724,0.0,0.0004276548672566,0.0084523010380622,0.0019461111111111,0.0034721341463414,0.0069999999999999,0.0034923955431754,0.0019093642384105,Artery - Aorta,chr13_1_26397
LINC02181,0.1083424722222222,0.0060289346405228,0.0059826576354679,0.0038834289044289,0.0474472470588235,0.0029290221238938,0.0085334394463667,0.0081812277777777,0.0008514634146341,0.006,0.0037586128133704,0.0032669841059602,Artery - Aorta,chr16_1_30914
LINC00396,0.1667227777777777,0.006615991285403,0.0044538916256157,0.0036841258741258,0.0034768235294117,0.0005819469026548,0.0302194290657439,0.0037383333333333,0.0008981402439024,0.013,0.0024473537604456,0.0007573774834437,Artery - Aorta,chr13_1_26570
TYR,0.1750175694444444,0.0582145969498911,0.0086624581280788,0.0151417459207459,0.0143622352941176,0.0028861548672566,0.0144313633217993,0.0054788888888888,0.0027128871951219,0.005,0.0039216434540389,0.0022249178807947,Artery - Aorta,chr11_1_23197
LINC02022,0.1916237731481481,0.0291323965141612,0.0165316502463054,0.0201159906759906,0.0056350588235294,0.0020897345132743,0.0072387543252595,0.0363717777777777,0.0037662804878048,0.012,0.0131872980501392,0.005739417218543,Artery - Aorta,chr3_0_06929
CYP11B2,0.2663189351851851,0.0154329302832244,0.016303987684729,0.024064599067599,0.0213106823529411,0.045361610619469,0.0266071020761245,0.0366230555555555,0.0159395609756097,0.002,0.0213205626740947,0.0126566834437086,Artery - Aorta,chr8_0_17983
DMP1,0.2713195833333334,0.0369174444444444,0.012574842364532,0.0215480885780885,0.0198789764705882,0.0035875619469026,0.0649521487889273,0.0340083333333333,0.0088955701219512,0.015,0.0141015877437325,0.0016972635761589,Artery - Aorta,chr4_1_09901
RTP1,0.2888476851851851,0.0225530501089324,0.0499948719211822,0.0101630069930069,0.0087991764705882,0.0076893407079646,0.0302731314878892,0.0357717222222222,0.0015548170731707,0.012,0.0219488300835654,0.0041979337748344,Artery - Aorta,chr3_1_08915
GRM5,0.2897565509259259,0.0144632505446623,0.0058664507389162,0.0175788811188811,0.0346731999999999,0.0021977477876106,0.0351909913494809,0.0082987777777777,0.0028135121951219,0.012,0.0047912367688022,0.0018075006622516,Artery - Aorta,chr11_0_23195
LINC01592,0.3940203935185184,0.0189581416122004,0.0066524162561576,0.0139025454545454,0.0067293647058823,0.0014199159292035,0.0261798754325259,0.013506,0.0009363841463414,0.01,0.0051642200557103,0.0006188715231788,Artery - Aorta,chr8_0_17373
CST1,0.4388364120370371,0.0579300435729847,0.044107684729064,0.0480062237762237,0.029517294117647,0.0049572123893805,0.1003182871972318,0.0180598888888888,0.0368337499999999,0.054,0.0218657103064066,0.0053425695364238,Artery - Aorta,chr20_0_36583
LINC00452,0.4497645138888892,0.0427884422657952,0.0408060024630541,0.0213840372960373,0.0444188823529411,0.0298249911504424,0.1041701730103805,0.0360193888888888,0.0137886341463414,0.006,0.0382030139275765,0.0529741602649006,Artery - Aorta,chr13_1_26659
LINC01611,0.4639401851851851,0.1379639651416121,0.0127152216748768,0.0330377156177156,0.0040685882352941,0.002951814159292,0.0046414705882352,0.0320553888888888,0.000929725609756,0.021,0.0085300835654596,0.0002184635761589,Artery - Aorta,chr6_0_13836
LINC01450,0.4887353935185186,0.0233298278867102,0.0275146083743842,0.0077249067599067,0.0153414823529411,0.0245905840707964,0.0170067975778546,0.0823575,0.0089960579268292,0.016,0.0121695543175487,0.0008640437086092,Artery - Aorta,chr7_0_15142
POU4F1,0.5917438888888886,0.0301852222222222,0.0484307881773399,0.0079930955710955,0.0112644117647058,0.0665870132743362,0.0387815051903114,0.0229945555555555,0.0196240457317073,0.071,0.0231079860724234,0.0268837271523178,Artery - Aorta,chr13_0_26378
CLEC3A,0.9059659722222222,0.1572434270152505,0.0283968374384236,0.0365598974358974,0.0506986823529411,0.0015373982300884,0.0561015276816609,0.0129420555555555,0.0016849603658536,0.017,0.5049715877437324,0.0007735721854304,Artery - Aorta,chr16_1_30813
PRKAG3,0.97939724537037,0.0954654531590414,0.0449878940886699,0.350594764568765,0.0182321294117647,0.0569964734513274,0.0995319083044982,0.0515404999999999,0.0118090121951219,0.008,0.0316712311977715,0.0834319629139072,Artery - Aorta,chr2_0_06400
UNC13C,1.1043113657407402,0.0977005577342047,0.1020013916256158,0.042590275058275,0.1088928588235294,0.0051176637168141,0.0277253875432525,0.5459529444444446,0.0086405853658536,0.032,0.0783575459610027,0.0099088715231788,Artery - Aorta,chr15_1_28617
LINC01423,1.555152476851852,0.1381489106753812,0.0316302931034482,0.046422564102564,0.1141155294117646,0.0102137168141592,0.3844686678200692,0.0961890555555555,0.0109721646341463,0.034,0.0439842061281337,0.0692068741721853,Artery - Aorta,chr21_0_37696
SAMMSON,1.6729794907407407,0.0154957516339869,0.0145846945812807,0.0041199883449883,0.0063538823529411,0.0010451460176991,0.0241162802768166,0.0655548888888889,0.0051357195121951,0.025,0.111605766016713,0.0010591655629139,Artery - Aorta,chr3_1_07765
CCDC42,2.016157175925925,0.1326064052287583,0.0414564655172413,0.047191662004662,0.074782,0.0688419911504424,0.2781589792387542,0.0820285555555555,0.0144076524390243,0.027,0.0379326740947075,0.1421016953642384,Artery - Aorta,chr17_0_31414
LCN1,2.124777337962964,0.0215110893246187,0.0186082758620689,0.2558437762237762,0.0021548235294117,0.0036169026548672,0.170228356401384,0.0863147777777777,0.0294710060975609,0.122,0.0162780222841225,0.004093178807947,Artery - Aorta,chr9_1_19635
HCCAT5,2.1402414351851866,0.076695816993464,0.072265935960591,0.030683916083916,0.0549550588235294,0.007954203539823,0.2038810034602076,0.097841,0.0052412499999999,0.019,0.0478800835654596,0.0014446622516556,Artery - Aorta,chr16_1_30757
CDH8,2.151439516203702,0.0972730501089325,0.0533584359605911,0.0154545128205128,0.0152605294117647,0.003281138938053,0.0921472352941176,0.52239865,0.0079119786585365,0.18,0.0746943454038997,0.0048527907284768,Artery - Aorta,chr16_0_30532
CASC18,2.184687592592593,0.1759120479302833,0.131520908866995,0.0809782540792541,0.2280605882352941,0.0261166238938053,0.1981175778546714,0.5670455000000002,0.0322764176829268,0.052,0.0637842256267409,0.0086481430463576,Artery - Aorta,chr12_1_25346
DCDC2C,2.2444004166666662,0.3207142701525056,0.1073987438423645,0.0291107272727272,0.1057787058823529,0.03094203539823,0.1400546539792389,0.5565992777777778,0.0103694298780487,0.03,0.1923245682451253,0.001958715231788,Artery - Aorta,chr2_1_04116
RPRML,2.555434560185183,0.4138640087145969,0.2548787931034483,0.0948003496503496,0.0768902352941176,0.0590594690265486,0.269792802768166,0.1226495555555555,0.1404515548780487,0.009,0.2888790250696379,0.0441227417218543,Artery - Aorta,chr17_0_32378
IL31RA,2.6422624861111084,0.029914431372549,0.1917157266009853,0.0293928041958041,0.0455631058823529,0.010671517699115,0.0967184342560552,0.1147274833333333,0.0686889390243902,0.155,0.1075686935933147,0.0636185178807947,Artery - Aorta,chr5_1_11053
GABRR1,2.7702102083333355,0.0707386383442266,0.0372207192118226,0.011817,0.0616829411764706,0.0071469999999999,0.0321633996539792,0.0365149444444444,0.0066834359756097,1.057,0.0212329415041782,0.0080019019867549,Artery - Aorta,chr6_0_13878
LINC01449,3.0740201388888884,0.0909037037037036,0.0379566995073891,0.0214373659673659,0.0960778823529411,0.0552419911504424,0.0391445674740484,0.3524016111111112,0.0081374695121951,0.018,0.0281693314763231,0.0053659470198675,Artery - Aorta,chr7_1_15143
KCNQ5,3.4939372685185166,0.2051347908496731,0.4544658374384234,0.1638663193473193,0.0611719882352941,0.0364086150442477,0.3838802110726644,0.1396822333333333,0.0771826981707317,0.171,0.4129435515320337,0.3314259576158936,Artery - Aorta,chr6_1_13752
C8orf34,3.5333314814814827,0.226109267973856,0.0386968719211822,0.2182903566433568,0.039488094117647,0.0053953053097345,0.9958323702422148,0.1122115833333334,0.0879544207317073,0.01,0.1316866183844012,0.0029737112582781,Artery - Aorta,chr8_1_17370
THSD7B,3.999455092592586,1.4008029084967315,0.2601505935960592,0.3205374125874126,0.5286742705882354,0.0387436371681415,0.201552918685121,0.2178522222222223,0.0268361432926829,0.14,0.136958635097493,0.0036427854304635,Artery - Aorta,chr2_1_05634
