chr,start,end,TSS,WGS_GC_bias,bps,bps_WGS_corrected
chr1,17339,17514,chr1_0_00002,2.6314047176064435,175,66.5044030776011
chr1,17368,17528,chr1_0_00002,2.555524144853874,160,62.60946519413491
chr1,186987,187143,chr1_0_00009,1.6985920993978532,156,91.84076627655435
chr1,632217,632397,chr1_0_00014,1.704686843901332,180,105.59124137313896
chr1,877569,877744,chr1_0_00021,2.254739522369635,175,77.61428682284439
chr1,919955,920144,chr1_0_00022,2.7471903123922385,189,68.7975635133264
chr1,926209,926377,chr1_0_00024,2.5578953145673737,168,65.67899751144212
chr1,926209,926377,chr1_1_00025,2.5578953145673737,168,65.67899751144212
chr1,959061,959239,chr1_0_00026,2.1815349454621438,178,81.5939255844888
chr1,961082,961243,chr1_1_00027,1.171806681558672,161,137.39467655692727
chr1,980173,980345,chr1_0_00029,2.612355836608477,172,65.84095382017371
chr1,980430,980605,chr1_0_00029,2.0239624230808904,175,86.46405585614269
chr1,982248,982413,chr1_0_00030,2.3144566730118026,165,71.29102995273854
chr1,982417,982579,chr1_0_00030,2.4093070916669066,162,67.23924922659754
chr1,982623,982778,chr1_0_00030,2.3762855513556747,155,65.22785105164328
chr1,999230,999396,chr1_0_00031,1.483899033369211,166,111.86744937968923
chr1,1033315,1033479,chr1_1_00034,1.14311248252527,164,143.46794607447964
chr1,1034547,1034707,chr1_1_00034,2.0827663747743714,160,76.8209060496922
chr1,1034734,1034902,chr1_1_00034,1.943507947572175,168,86.44163262098576
chr1,1060127,1060300,chr1_1_00035,2.0139428078109645,173,85.90114839856881
chr1,1069460,1069615,chr1_0_00036,1.4800330009365834,155,104.72739452560454
chr1,1073708,1073885,chr1_0_00037,2.397059612296362,177,73.84046649988632
chr1,1073981,1074147,chr1_0_00037,2.0937451379996785,166,79.28376619830293
chr1,1074163,1074315,chr1_0_00037,2.455807547670972,152,61.8941008403338
chr1,1167550,1167726,chr1_1_00040,2.015334943998705,176,87.33039662915361
chr1,1167550,1167726,chr1_1_00041,2.015334943998705,176,87.33039662915361
chr1,1168816,1168979,chr1_1_00041,2.12635891103704,47,22.103512138069757
chr1,1168816,1168979,chr1_1_00042,2.12635891103704,163,76.65686124479511
chr1,1173118,1173280,chr1_1_00043,2.548961297514276,162,63.55530001886687
chr1,1173624,1173827,chr1_1_00043,2.598399779990864,203,78.12500661492273
chr1,1179096,1179253,chr1_1_00044,1.8648243684277777,157,84.19023402850841
chr1,1179846,1180011,chr1_1_00044,2.50402854373634,165,65.89381754961879
chr1,1206369,1206548,chr1_0_00045,1.8166360551473384,179,98.53377042298227
chr1,1213407,1213576,chr1_0_00046,2.210294311224072,169,76.46040581193323
chr1,1213784,1213953,chr1_0_00046,1.51880515496788,169,111.27167921916491
chr1,1274066,1274234,chr1_0_00050,1.5451451426420506,168,108.72764982630437
chr1,1279737,1279930,chr1_1_00051,2.2649536200694875,193,85.21145788145493
chr1,1281144,1281295,chr1_1_00051,2.507270520835987,151,60.224853578884186
chr1,1295941,1296105,chr1_0_00052,2.550199727833101,164,64.30868853528992
chr1,1313369,1313529,chr1_0_00057,2.5686333746983854,160,62.289932684063004
chr1,1325373,1325543,chr1_0_00058,2.261142805136897,170,75.18322134001954
chr1,1325373,1325543,chr1_0_00059,2.261142805136897,170,75.18322134001954
chr1,1325373,1325543,chr1_1_00060,2.261142805136897,170,75.18322134001954
chr1,1330220,1330377,chr1_1_00061,2.288020034800126,98,42.831792776919876
chr1,1340345,1340521,chr1_0_00062,2.362219443047578,176,74.5062024267045
chr1,1340355,1340526,chr1_0_00062,2.4369307013687163,171,70.17023500256157
chr1,1360854,1361033,chr1_0_00067,1.8441690792100949,179,97.06268368661203
chr1,1397958,1398152,chr1_0_00070,2.753484850057616,194,70.4561712028089
chr1,1434397,1434573,chr1_0_00078,2.362219443047578,176,74.5062024267045
chr1,1436117,1436282,chr1_1_00079,2.5620774148959296,165,64.40086433012885
chr1,1449435,1449592,chr1_1_00080,1.2456121283779025,157,126.04244645919844
chr1,1539575,1539737,chr1_0_00085,1.7094420156069272,114,66.68842754489393
chr1,1575010,1575161,chr1_0_00086,2.544536720563672,151,59.342826055404736
chr1,1600686,1600856,chr1_0_00088,2.5561971652965454,170,66.5050420632472
chr1,1600876,1601041,chr1_0_00088,2.353801260902588,165,70.09937616259461
chr1,1614896,1615062,chr1_1_00089,1.924698950449809,166,86.24725438812402
chr1,1614896,1615062,chr1_1_00090,1.924698950449809,166,86.24725438812402
chr1,1614896,1615062,chr1_1_00091,1.924698950449809,166,86.24725438812402
chr1,1615960,1616116,chr1_1_00089,1.4911401900522478,156,104.61792998452677
chr1,1615960,1616116,chr1_1_00090,1.4911401900522478,156,104.61792998452677
chr1,1615960,1616116,chr1_1_00091,1.4911401900522478,156,104.61792998452677
chr1,1631943,1632108,chr1_1_00092,1.7623432515285995,165,93.62534787527024
chr1,1631943,1632108,chr1_1_00093,1.7623432515285995,165,93.62534787527024
chr1,1632192,1632359,chr1_1_00092,1.2476374017823182,167,133.8529926735375
chr1,1632192,1632359,chr1_1_00093,1.2476374017823182,167,133.8529926735375
chr1,1780725,1780888,chr1_0_00102,2.579655922471538,163,63.186721368573686
